Project Name,user/repo,Function coverage %,# dependencies,# commit,last commit,default branch,entry file,Module system,readme,test reporting,git url
langsheet,kt3k/langsheet,100,363,60,2023-04-25,master,https://raw.githubusercontent.com/kt3k/langsheet/master/index.js,NodeJS,https://raw.githubusercontent.com/kt3k/langsheet/master/README.md,codecov.io,https://github.com/kt3k/langsheet.git
jscodeshift-build-import-list,codemodsquad/jscodeshift-build-import-list,100,303,54,2021-12-07,master,https://raw.githubusercontent.com/codemodsquad/jscodeshift-build-import-list/master/index.js,CommonJS,https://raw.githubusercontent.com/codemodsquad/jscodeshift-build-import-list/master/README.md,codecov.io,https://github.com/codemodsquad/jscodeshift-build-import-list.git
brisky-props,vigour-io/brisky-props,100,506,52,2016-10-19,master,https://raw.githubusercontent.com/vigour-io/brisky-props/master/index.js,CommonJS,https://raw.githubusercontent.com/vigour-io/brisky-props/master/README.md,coveralls.io,https://github.com/vigour-io/brisky-props.git
prettier-stylelint-temp,isellsoap/prettier-stylelint,100,437,51,2019-02-25,master,https://raw.githubusercontent.com/isellsoap/prettier-stylelint/master/index.js,CommonJS,https://raw.githubusercontent.com/isellsoap/prettier-stylelint/master/README.md,codecov.io,https://github.com/isellsoap/prettier-stylelint.git
umdlib,jclo/umdlib,100,1075,50,2019-04-12,master,https://raw.githubusercontent.com/jclo/umdlib/master/index.js,CommonJS,https://raw.githubusercontent.com/jclo/umdlib/master/README.md,coveralls.io,https://github.com/jclo/umdlib.git
metalsmith-eslint,ubenzer/metalsmith-eslint,100,306,49,2019-02-07,master,https://raw.githubusercontent.com/ubenzer/metalsmith-eslint/master/lib/index.js,CommonJS,https://raw.githubusercontent.com/ubenzer/metalsmith-eslint/master/README.md,codecov.io,https://github.com/ubenzer/metalsmith-eslint.git
metalsmith-uglifyjs,ubenzer/metalsmith-uglifyjs,100,382,48,2017-05-23,master,https://raw.githubusercontent.com/ubenzer/metalsmith-uglifyjs/master/lib/index.js,CommonJS,https://raw.githubusercontent.com/ubenzer/metalsmith-uglifyjs/master/README.md,codecov.io,https://github.com/ubenzer/metalsmith-uglifyjs.git
generator-react-webpack-alt,weblogixx/generator-react-webpack-alt,100,700,47,2016-08-23,master,https://raw.githubusercontent.com/weblogixx/generator-react-webpack-alt/master/generators/app/index.js,CommonJS,https://raw.githubusercontent.com/weblogixx/generator-react-webpack-alt/master/README.md,coveralls.io,https://github.com/weblogixx/generator-react-webpack-alt.git
bot-magic,franzip/generator-hapi-api-stack,100,540,43,2017-10-06,master,https://raw.githubusercontent.com/franzip/generator-hapi-api-stack/master/generators/app/index.js,CommonJS,https://raw.githubusercontent.com/franzip/generator-hapi-api-stack/master/README.md,codecov.io,https://github.com/franzip/generator-hapi-api-stack.git
generator-ajsbase,yadickson/generator-ajsbase,100,400,41,2019-01-15,master,https://raw.githubusercontent.com/yadickson/generator-ajsbase/master/index.js,CommonJS,https://raw.githubusercontent.com/yadickson/generator-ajsbase/master/README.md,coveralls.io,https://github.com/yadickson/generator-ajsbase.git
webpack-configure,hvolschenk/webpack-configure,100,315,40,2017-03-27,master,https://raw.githubusercontent.com/hvolschenk/webpack-configure/master/src/index.js,CommonJS,https://raw.githubusercontent.com/hvolschenk/webpack-configure/master/README.md,coveralls.io,https://github.com/hvolschenk/webpack-configure.git
npmcheck2slack,frankthelen/npmcheck2slack,100,306,40,2018-08-28,master,https://raw.githubusercontent.com/frankthelen/npmcheck2slack/master/src/audit.js,CommonJS,https://raw.githubusercontent.com/frankthelen/npmcheck2slack/master/README.md,coveralls.io,https://github.com/frankthelen/npmcheck2slack.git
generator-ajslib,yadickson/generator-ajslib,100,402,36,2018-04-25,master,https://raw.githubusercontent.com/yadickson/generator-ajslib/master/generators/app/index.js,CommonJS,https://raw.githubusercontent.com/yadickson/generator-ajslib/master/README.md,coveralls.io,https://github.com/yadickson/generator-ajslib.git
generator-kibe,woliveiras/kibe,100,679,34,2016-03-15,master,https://raw.githubusercontent.com/woliveiras/kibe/master/app/index.es5.js,CommonJS,https://raw.githubusercontent.com/woliveiras/kibe/master/README.md,coveralls.io,https://github.com/woliveiras/kibe.git
lucass,mikeal/lucass,100,460,33,2017-09-19,master,https://raw.githubusercontent.com/mikeal/lucass/master/fs.js,CommonJS,https://raw.githubusercontent.com/mikeal/lucass/master/README.md,coveralls.io,https://github.com/mikeal/lucass.git
mqtter,taoyuan/mqttoxy,100,312,24,2017-10-11,master,https://raw.githubusercontent.com/taoyuan/mqttoxy/master/index.js,CommonJS,https://raw.githubusercontent.com/taoyuan/mqttoxy/master/README.md,coveralls.io,https://github.com/taoyuan/mqttoxy.git
